id,symbol,trans_date,quantity,trans_price, totalDividend, sell_date,sell_quant, sell_price, status
159,Z74.SI,20161010,2000,3.93,136,20170113,2000,3.82,DEAD
160,Z74.SI,20161011,2000,3.90,136,20170113,2000,3.82,DEAD
165,Z74.SI,20161110,2000,3.86,136,20170123,2000,3.80,DEAD
167,Z74.SI,20161122,4000,3.615,272,20170106,4000,3.75,DEAD
169,BN4.SI,20161213,2000,6.20,0,20170124,2000,6.30,DEAD
201,BN4.SI,20161222,2000,5.96,0,20161230,2000,5.88,DEAD
202,Z74.SI,20161219,4000,3.68,0,20170111,4000,3.80,DEAD
204,Z74.SI,20161227,2000,3.64,0,20170124,2000,3.82,DEAD
205,Z74.SI,20161229,2000,3.65,0,20170124,2000,3.82,DEAD
207,Z74.SI,20170123,2000,3.80,0,20170124,2000,3.84,DEAD
206,S68.SI,20170106,1000,7.20,0,20170113,1000,7.29,DEAD
207,BN4.SI,20170110,1000,6.0,0,20170112,1000,6.18,DEAD

