id,symbol,trans_date,quantity,trans_price, totalDividend, sell_date,sell_quant, sell_price, status
138,S53.SI,20160722,4000,1.65,0,,,,LIVE
139,U11.SI,20160728,400,18.75,140,,,,LIVE
140,U11.SI,20160728,300,18.65,105,,,,LIVE
141,S53.SI,20160728,2000,1.64,0,,,,LIVE
143,S53.SI,20160728,2000,1.63,0,,,,LIVE
144,U11.SI,20160801,300,18.30,105,,,,LIVE
152,BN4.SI,20160810,1000,5.25,0,,,,LIVE
156,Y92.SI,20160818,5000,1.015,39,,,,LIVE
158,JK8.SI,20160817,1800,1.99,0,,,,LIVE
159,Y92.SI,20160824,5000,1.00,0,,,,LIVE
161,O39.SI,20160825,1000,8.69,0,,,,LIVE
163,U11.SI,20160829,500,17.97,0,,,,LIVE
164,BN4.SI,20160830,1000,5.23,0,,,,LIVE
165,Z74.SI,20160831,2000,4.05,0,,,,LIVE
